Date|Adj_Close|Volume|Var%|Fechamento|score|neu_rob|neg_finbert|scored1|scored2|scored3|scored4|neu_robd1|neu_robd2|neu_robd3|neu_robd4|neg_finbertd1|neg_finbertd2|neg_finbertd3|neg_finbertd4
2021-03-19|16.000837326049805|90244500|0.0909092682359729|1|24|0.4562068283557892|0.0|-62.0|17.0|0.0|-3.0|0.04819728434085846|0.2405022382736206|0.006180682685226202|0.03613976016640663|0.0|0.0|0.0|0.0
2021-04-07|16.000837326049805|55892200|0.0|1|25|0.25570008158683777|0.0|24.0|-62.0|17.0|0.0|0.4562068283557892|0.04819728434085846|0.2405022382736206|0.006180682685226202|0.0|0.0|0.0|0.0
2020-12-07|18.00094223022461|72664200|0.12500001490038135|1|-1|0.25098860263824463|0.0|25.0|24.0|-62.0|17.0|0.25570008158683777|0.4562068283557892|0.04819728434085846|0.2405022382736206|0.0|0.0|0.0|0.0
2021-01-26|18.00094223022461|64514600|0.0|1|14|0.011356723494827747|0.0|-1.0|25.0|24.0|-62.0|0.25098860263824463|0.25570008158683777|0.4562068283557892|0.04819728434085846|0.0|0.0|0.0|0.0
2021-10-01|20.445180892944336|60983200|0.1357839290554308|1|59|0.34607622027397156|0.0|14.0|-1.0|25.0|24.0|0.011356723494827747|0.25098860263824463|0.25570008158683777|0.4562068283557892|0.0|0.0|0.0|0.0
2021-11-01|20.445180892944336|102157200|0.0|1|47|0.46233832836151123|0.0|59.0|14.0|-1.0|25.0|0.34607622027397156|0.011356723494827747|0.25098860263824463|0.25570008158683777|0.0|0.0|0.0|0.0
2020-01-14|19.999563217163086|39796500|-0.0217957316256876|0|-12|0.38497644662857056|0.0|47.0|59.0|14.0|-1.0|0.46233832836151123|0.34607622027397156|0.011356723494827747|0.25098860263824463|0.0|0.0|0.0|0.0
2020-01-20|19.999563217163086|31241400|0.0|1|-23|0.3906559944152832|0.0|-12.0|47.0|59.0|14.0|0.38497644662857056|0.46233832836151123|0.34607622027397156|0.011356723494827747|0.0|0.0|0.0|0.0
2021-01-07|20.667749404907227|56171300|0.03341003903378858|1|-4|0.32791680097579956|0.0|-23.0|-12.0|47.0|59.0|0.3906559944152832|0.38497644662857056|0.46233832836151123|0.34607622027397156|0.0|0.0|0.0|0.0
2022-02-25|27.888872146606445|86189100|0.34939086013809906|1|239|0.4033428430557251|0.0|-4.0|-23.0|-12.0|47.0|0.32791680097579956|0.3906559944152832|0.38497644662857056|0.46233832836151123|0.0|0.0|0.0|0.0
