,title,media,date,desc
27,Parque eólico flutuante da EDP e Engie começa a gerar energia em Portugal,Money Times,2020-03-01,Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
28,Veja as 10 ações mais indicadas para se investir em janeiro,Valor Investe,2020-03-01,Setor financeiro e varejista ganham destaque na seleção da Carteira Valor ·  Siga o Valor Investe no Facebook · Entenda · Carteira Valor x Ibovespa ·  Petrobras · Pão...
29,Uol trata Marcelo Ramos como 'ex-comunista da confiança de ...,Amazonas Atual,2020-03-01,"Notícias relacionadas · Taxas sobre lucro da Petrobras deverão ficar fora  do teto de gastos · Centrão lança ofensiva contra a Petrobras, PT alega que  é desespero..."
30,Bolsonaro sugere compensar alta do petróleo com redução de ICMS,Época Negócios,2020-04-01,"Bolsonaro discutiu a questão com o ministro do Gabinete de Segurança  Institucional (GSI), Augusto Heleno, e com o presidente da Petrobras,  Roberto Castello..."
31,Indústria porto-petroleira ignora comunidades que vivem nas ...,Século Diário,2020-04-01,"O objeto de estudo inicial era a história da Petrobras no Espírito Santo,  mas, ao analisar os Estudos e Relatórios de Impacto Ambiental (EIA-RIMAs)  e..."
32,"Com Tesla, fatia de carros elétricos na Noruega sobe para 42%",Money Times,2020-04-01,"... CVC (CVCB3), Petrobras (PETR4) e outras empresas para ficar de olho  hoje · Sanepar (SAPR11) pagará R$ 154 milhões em juros sobre o capital  próprio..."
33,"Bolsonaro endossa discurso de Trump de ""luta contra o ...",Brasil de Fato,2020-04-01,"“Nós sabemos o que, em grande parte, o Irã representa para os seus vizinhos  e para o mundo”, disse o presidente. Petrobras mantém preço de  combustíveis. Em..."
34,Número de mulheres na direção de grandes filmes atinge recorde,Money Times,2020-04-01,Homem mais rico do mundo diz que recessão 'inevitável' acontecerá em breve  · A alternativa ao papel da Petrobras (PETR4) que pode disparar 183%...
35,"Ataque dos EUA impactará no preço dos combustíveis, diz ...",Atualiza Bahia,2020-04-01,O presidente Jair Bolsonaro voltou a defender a quebra do monopólio da  Petrobras como uma alternativa para baratear os combustíveis. “Temos de  quebrar o...
36,"Anteriormente apontada como affair de Anitta, dançarina se ...",O Presente,2020-04-01,"Anteriormente apontada como affair de Anitta, dançarina se declara para a  cantora · Navegação de Post · Moro com Bolsonaro · Petrobras, eleições e os  brasileiros."
37,Login único já beneficia 45 milhões de pessoas no país ...,O Presente,2020-04-01,"Petrobras, eleições e os brasileiros. Facebook. OP Grupo WhatsApp. Edição  Impressa. Edição 4940 – Terça-feira 21/06/2022. O Presente."
38,Sesc está com inscrições abertas para a edição 2020 da ...,O Presente,2020-04-01,"Petrobras, eleições e os brasileiros. Facebook. OP Grupo WhatsApp. Edição  Impressa. Edição 4940 – Terça-feira 21/06/2022. O Presente."
39,"Chuva alaga ruas de Guaratuba, Pontal do Paraná e ...",O Presente,2020-04-01,"Petrobras, eleições e os brasileiros. Facebook. OP Grupo WhatsApp. Edição  Impressa. Edição 4940 – Terça-feira 21/06/2022. O Presente."
40,Postos e motoristas especulam sobre aumento da gasolina em Belo Horizonte,Estado de Minas,2020-05-01,"O presidente Jair Bolsonaro (PSL) se reunirá com o presidente da Petrobras,  Roberto Castello Branco, ministros e técnicos da área econômica para  discutir a..."
41,"Um zagueiro, um atacante e um meio-campista: veja 3 ‘jogadores’ da seleção de investimentos para se aposentar rápido",Seu Dinheiro,2020-05-01,"Desde que embarcamos em Petrobras, foram acionados gatilhos importantes,  como a venda de vários ativos coadjuvantes e uma impressionante queda no  custo da..."
42,Lava-Jato fará barulho contra figurões na Bahia,VEJA,2020-05-01,Um novo delator promete entregar coisas pesadas de Jaques Wagner e Rui  Costa na Bahia. É assunto dos tempos da construção da sede da Petrobras em  Salvador.
43,VÍDEO: Dona de casa de jogos de azar em Águas Claras é presa pela sexta vez,Correio Braziliense,2020-05-01,Comitê de Elegibilidade da Petrobras se reúne na sexta para analisar Caio  Paes · Depósito pega fogo em Santa Maria; Dono diz que incêndio foi  criminoso.
44,‘Doutrina Guedes’ coloca o Brasil à venda,El País,2020-05-01,"O movimento com a JBS é muito parecido com o que o Governo quer realizar  com a Petrobras: continuar se desfazendo gradualmente de sua posição  acionária,..."
45,Irã ameaça atacar Israel se EUA concretizarem ameaças,ISTOÉ Independente,2020-05-01,Ciro Nogueira ataca Petrobras com expectativa de novo aumento de ... Lira  anuncia reunião de líderes para discutir política de preços da Petrobras.
46,Fisco não pode recusar caução de imóvel cujo valor supera o ...,Consultor Jurídico,2020-05-01,... Câmara Cível do Tribunal de Justiça do Rio Grande do Sul confirmou  sentença que tornou definitiva uma medida cautelar proferida em favor da  Petrobras.
47,Samsung poderá lançar novos telefones quadrados e retangulares em 11 de fevereiro,Money Times,2020-05-01,... A alternativa ao papel da Petrobras (PETR4) que pode disparar 183% ...  PETROBRAS (PETR-N2) - Outros Comunicados ao Mercado - 23/06/22. 23/06/2022  19:54.
48,Duas pessoas morrem e outras sete ficam feridas em acidente no Norte de Minas,Estado de Minas,2020-05-01,"-Petrobras 11 anos atraz quaze 58,00 US $ -Petrobras 5 anos atraz 2,50 US$  -Petrobras hoje 15,00 US $ A CVRD, o mesmo ""tobogano"". Curtir (0);  Responder (0)."
49,Modelo e influencer americana cobra R$ 40 por nudes para ajudar no combate a incêndios na Austrália,Super Rádio Tupi,2020-05-01,Orquestra Petrobras Sinfônica transmite concerto sob regência do maestro  Isaac Karabtchevsky com a renomada pianista Sylvia. Entretenimento11  minutos atrás...
50,"Petrobras tem margens de combustíveis apertadas após alta do petróleo, dizem analistas",O Globo,2020-06-01,"RIO - Sem reajustar diesel e gasolina há semanas, a Petrobras está com  margens apertadas e deverá elevar os valores cobrados nas refinarias nos  próximos..."
51,BNDES convida 8 bancos para intermediar venda de ...,ISTOÉ DINHEIRO,2020-06-01,A Petrobras informou que o Banco Nacional de Desenvolvimento Econômico e  Social (BNDES) convidou oito bancos para intermediar a venda de parte das  ações da...
52,Bolsonaro: governo não vai interferir em política de preço de combustíveis,UOL Economia,2020-06-01,Essa política vem sendo bem conduzida pelo almirante [e ministro de Minas e  Energia] Bento [Albuquerque] juntamente com o presidente da Petrobras  [Roberto...
53,"Enquanto aumento de preço não vem, postos parcelam gasolina no cartão",Blog do Correio Braziliense,2020-06-01,"Os donos de postos estão atentos a qualquer movimento da Petrobras sobre  reajuste nos preços da gasolina. Mas, enquanto o aumento não vem, estão  parcelando..."
54,Neoenergia estuda três complexos eólicos offshore no Ceará ...,EPBR,2020-06-01,"Listamos em outubro: são o piloto da Petrobras, em Ubarana (RN); o da BI  Energia e o da Eólica Brasil (Asa Branca), no Ceará; e o Caju Offshore, da  Rialma..."
55,Ibovespa tem cinco novas ações a partir de hoje; confira a nova carteira,Valor Investe,2020-06-01,"B3 divulgou hoje a nova carteira do índice, que reúne as ações mais  negociadas da bolsa ; PCAR4, P.ACUCAR-CBD, PN N1, 0,6746 ; PETR3,  PETROBRAS, ON N2, 4,2012."
56,As ações preferidas dos analistas para investir em janeiro,InfoMoney,2020-06-01,"Levantamento feito pelo InfoMoney com 12 casas de análise mostra ainda que  as ações mais recomendadas neste mês são da Petrobras, da Vale e da JBS,  com dez,..."
57,"Previsão para câmbio no fim de 2020 passa de R$ 4,08 para ...",ISTOÉ DINHEIRO,2020-06-01,Comitê aprova Andrade para presidência da Petrobras; falta respaldo do  conselho. Giro 20:35. Aprovação de Andrade para presidente da Petrobras é  dada como...
58,Produção da Opep cai em dezembro com maiores cortes de Nigéria e Iraque,Money Times,2020-06-01,Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
59,Descobertas de óleo e gás no Brasil crescem 35% em 2019,CPG Click Petroleo e Gas,2020-06-01,As descobertas offshore foram feitas pela Shell (1 Alto de Cabo Frio  Central e outras em Sul de Gato do Mato); Equinor (Norte de Carcará) e  Petrobras (3 Sergipe...
60,Petrobras: compro PETR3 ou PETR4?,Valor Investe,2020-07-01,"Petrobras: compro PETR3 ou PETR4? Decisão sobre investir em ordinárias ou  preferenciais deve levar em conta liquidez, governança, direitos  políticos,..."
61,Ibama abre consulta pública para licenciamento de eólicas offshore no Brasil,Época Negócios,2020-07-01,"A geração eólica offshore chegou a ser levada a sério pela Petrobras em  2018, que anunciou na época uma planta piloto no Rio Grande do Norte, em  águas rasas..."
62,Aumento no combustível marítimo em 50% por mudança ...,Portos e Navios,2020-07-01,"Em outubro, quando a Petrobrás começou oficialmente a vender o bunker de  0,5% de teor de enxofre, os preços estavam próximos de US$ 400/t."
63,Brasil tem terceira gasolina mais cara dos países sul ...,Viagora,2020-07-01,"Se a política for realmente mantida, a tendência é de que a Petrobras  anuncie em breve um reajuste no valor dos combustíveis nas refinarias  brasileiras, que têm..."
64,A história de uma amizade. Os segredos de Lula e Emílio Odebrecht,Os Divergentes,2020-07-01,"Não eram tão amigáveis como pareceriam, pois havia uma luta surda da  burocracia da Petrobrás contra a Odebrecht, tentando a verticalização e..."
65,Siqueira: exportar petróleo bruto e importar derivados é um erro estratégico,O Cafezinho,2020-07-01,"Siqueira classifica políticas do setor petrolífero como 'sucessão de  erros'. O desmonte da principal empresa estatal brasileira, a Petrobras, se  reflete em..."
66,Planner renova carteira de dividendos e indica 5 ações diferentes para janeiro,Money Times,2020-07-01,"Na análise do ano, a carteira acumulou alta de 34,43% contra a valorização  de 28,92% do Índice Dividendo (IDIV). Leia também: Petrobras. Mercados ·  Ibovespa (..."
67,Veja as indicações de dividendos e small caps da Necton para janeiro,Money Times,2020-07-01,"Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Ações, Arezzo,..."
68,Nasa anuncia descoberta de planeta do tamanho da Terra,Money Times,2020-07-01,"Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Agência Brasil, Ciência..."
69,Califórnia processa bilionário por tornar praia privada no Pacífico,Money Times,2020-07-01,Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
70,Trabalhador morre em transporte de plataforma da Petrobras após ingestão de álcool etílico,G1,2020-08-01,Um funcionário morreu e outros cinco estão internados após ingerirem álcool  etílico durante o transporte de uma plataforma da Petrobras da China para  Bacia...
71,Brasileiro morre após ingerir etanol em plataforma da Petrobras,VEJA,2020-08-01,"Um brasileiro morreu durante a travessia da China para o Brasil da  plataforma P-70 da Petrobras. Segundo funcionários da estatal, um  trabalhador de uma..."
72,Operário ingere etanol e morre em plataforma da Petrobras,Metrópoles,2020-08-01,"... morreu durante a travessia da China para o Brasil da plataforma P-70 da  Petrobras. O operário morreu a bordo por intoxicação por ingestão de  etanol,..."
73,Petrobras suspende trânsito de navios no Estreito de Ormuz,Poder360,2020-08-01,"A Petrobras anunciou nesta 4ª feira (8.jan.2020) que suspendeu o trânsito  de seus navios pelo Estreito de Ormuz, no Golfo Pérsico, depois de o Irã  ter..."
74,Confirmado: Petrobras fechará as portas em Aracaju,Portos e Navios,2020-08-01,"e forma trágica para os sergipanos, o Ministério de Minas e Energia assumiu  oficialmente que está fechando a sede da Petrobras em Aracaju."
75,"Acidente na Plataforma da Petrobras – Saiba como foi o resgate, fotos e os primeiros comunicados da imprensa internacional",Click Petróleo e Gás,2020-08-01,A Instituto Nacional 5 de Resgate Marítimo da Africa do Sul anuncia como  foi o itinerário de resgate das vitimas na unidade P-70 da Petrobras.
76,"Bovespa fecha em queda nesta quarta, mas ainda acima de 116 mil pontos",G1,2020-08-01,"Principal índice da bolsa operou sem tendência definida na maior parte do  dia. Foi o 4º pregão consecutivo de queda, com Petrobras e bancos  pressionando baixas."
77,Acidente com intoxicação na P70 durante a viagem da China ...,Portos e Navios,2020-08-01,"Navio de processamento P-70, IMO 9654062, dwt 272682, construído em 2019,  bandeira Liberia, de propriedade da Petrobras. ATUALIZADO EM 09/01/2020 ÀS  16H40..."
78,Governo do ES quer que sucatas de plataformas de petróleo sejam recicladas,A Gazeta,2020-08-01,"Vista aérea das plataformas da Petrobras em Cação, São Mateus, que estão em  processo de descomissionamento . Crédito: Edson Chagas/ Arquivo Jornal A  Gazeta..."
79,"Marcio Fernandes: mesmo em 2020, trabalhamos igual há 50 ...",Eu Quero Investir,2020-08-01,"Radar traz Petrobras (PETR4), Embraer (EMBR3) e Braskem (BRKM5) · Futuros  de NY sobem e demais mercados operam em terreno positivo; tendência se  mostra de..."
80,"Agora é oficial, em março Petrobras fechará as portas da sua sede em Aracaju",Click Petróleo e Gás,2020-09-01,"A sede da Petrobras em Aracaju, SE, na Rua Acre, serão transferidas de  forma ... Segundo a Petrobras os motivos são para promover economia à  empresa e..."
81,"Morre mais um trabalhador a serviço da Petrobras para a P-33, na Bacia de Campos",Click Petróleo e Gás,2020-09-01,"Após executar uma operação de mergulho para a plataforma P-33 da Petrobras,  o funcionário terceirizado não resistiu e acabou falecendo nesta madrugada."
82,De aprovado em concurso na Petrobrás ao Beira-Rio: a ...,Revista Colorada,2020-09-01,A carreira do atleta parecia ter acabado. O lesionado meio-campista  realizou um concurso público para ingressar na Petrobrás e foi aprovado.  “Achei que nunca...
83,Bancos projetam novo recorde em ofertas de ações,Valor Econômico,2020-09-01,"Bolsonaro diz que assinaria CPI da Petrobras ""se fosse deputado"". Em  entrevista a uma rádio de Belo Horizonte, o presidente disse que a  privatização da..."
84,"Muitas vagas de emprego para construção naval no Estaleiro Jurong Aracruz ES, hoje 9 de janeiro",CPG Click Petroleo e Gas,2020-09-01,Três empresas estão responsáveis pelas oportunidades. Veja quais os cargos  disponíveis e como concorrer. Mais empregos a vista! Após pacto entre  Petrobras e...
85,Fundo imobiliário Edifício Galeria anuncia rescisão de locatária Saphyr,Money Times,2020-09-01,"Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: BTG Pactual, Edifício..."
86,"Por US$ 650 mil, um Porsche para dirigir sobre rochas e areia",Money Times,2020-09-01,"Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Bloomberg, Internacional,..."
87,Ex-gestores de fundos de pensão são denunciados por ...,Valor Econômico,2020-09-01,"Eles são acusados de fraudes em investimentos desses fundos, que  administram, respectivamente, os recursos de funcionários da Petrobras,  Caixa Econômica..."
88,Aluno do ensino público ‘custa’ até R$ 415 ao mês,Valor Econômico,2020-09-01,"Ibovespa avança e supera 100 mil pontos, impulsionado por Vale e Petrobras.  Cena política brasileira e situação da economia global dividem espaço na  pauta..."
89,"Falta de educação financeira influencia na inadimplência, diz Campos Neto",Gazeta do Povo,2020-09-01,Bolsonaro fala em diálogo com Lira sobre CPI para investigar a Petrobras.  18/06/2022 12:02. Por Gazeta do Povo.
90,Mergulhador morre após prestar serviços em plataforma da Petrobras,Valor Econômico,2020-10-01,"Um trabalhador morreu na madrugada de quinta-feira após a prestação de  serviços à plataforma P-33, da Petrobras, informou o Sindicato dos  Petroleiros do..."
