,Date,Adj Close,Volume,Var%
0,2020-01-02,20.466218948364254,37774500,0.0172299345761326
1,2020-01-03,20.29955673217773,71595600,-0.0081432831636858
2,2020-01-06,20.539552688598636,81844000,0.0118227190665927
3,2020-01-07,20.459550857543945,32822000,-0.0038950133076216
4,2020-01-08,20.3328914642334,48215600,-0.0061907220834148
5,2020-01-09,20.266225814819336,36102700,-0.0032787097462911
6,2020-01-10,20.1795597076416,25397500,-0.0042763812053432
7,2020-01-13,20.219558715820312,30676800,0.0019821546534319
8,2020-01-14,19.99956512451172,39796500,-0.010880237022011
9,2020-01-15,19.69956970214844,34405700,-0.0150000972768954
10,2020-01-16,19.67956924438477,28997400,-0.0010152738392803
11,2020-01-17,19.899564743041992,34908000,0.0111788777449992
12,2020-01-20,19.99956512451172,31241400,0.0050252547108946
13,2020-01-21,19.746234893798828,28577400,-0.0126667869594027
14,2020-01-22,19.526241302490234,32491500,-0.0111410399244101
15,2020-01-23,19.766233444213867,53752100,0.0122907495613622
16,2020-01-24,19.53290557861328,36898700,-0.011804366586032
17,2020-01-27,18.686260223388672,66105300,-0.0433445680580981
18,2020-01-28,19.199581146240234,47259100,0.0274705006092692
19,2020-01-29,19.2329158782959,42297500,0.0017362218374328
20,2020-01-30,19.29291343688965,44266800,0.0031195248278217
21,2020-01-31,18.96625518798828,55446700,-0.0169315147745787
22,2020-02-03,18.78625869750977,39452800,-0.0094903547745425
23,2020-02-04,19.08625221252441,57658400,0.0159687737641138
24,2020-02-05,18.926252365112305,67994500,-0.0083829892652846
25,2020-02-06,19.452911376953125,126114000,0.0278269042217589
26,2020-02-07,19.286245346069336,54514600,-0.0085676651506902
27,2020-02-10,19.419574737548828,45328100,0.0069131854898167
28,2020-02-11,19.652904510498047,37518200,0.012015184477653
29,2020-02-12,20.086227416992188,64851000,0.0220487972280469
30,2020-02-13,19.81290054321289,55277100,-0.0136076759515364
31,2020-02-14,19.612905502319336,30399900,-0.010094182851085
32,2020-02-17,19.572904586791992,38684900,-0.0020395201273269
33,2020-02-18,19.83290100097656,33890900,0.0132834865173776
34,2020-02-19,20.3662223815918,44181800,0.0268907398160749
35,2020-02-20,19.946231842041016,73522900,-0.0206219166069007
36,2020-02-21,19.426240921020508,47805100,-0.0260696318552015
37,2020-02-26,17.472951889038086,89207100,-0.1005489965827012
38,2020-02-27,16.86629867553711,100112100,-0.0347195606874857
39,2020-02-28,16.892963409423828,89095300,0.0015809475688577
40,2020-03-02,17.686281204223633,71596400,0.0469614345081248
41,2020-03-03,17.366289138793945,86855700,-0.0180926709088663
42,2020-03-04,17.926273345947266,42320500,0.0322454729780117
43,2020-03-05,16.85963249206543,69722300,-0.0595015390704716
44,2020-03-06,15.219667434692385,138597600,-0.0972716966484801
45,2020-03-09,10.699766159057615,254813800,-0.2969776636072812
46,2020-03-10,11.70641040802002,170478000,0.0940809578450696
47,2020-03-11,10.566435813903809,132482400,-0.0973803714702518
48,2020-03-12,8.39981746673584,151535900,-0.2050472255097628
49,2020-03-13,10.266443252563477,174972600,0.222222184377181
50,2020-03-16,8.726476669311523,126432800,-0.1500000092892377
51,2020-03-17,8.66647720336914,149228500,-0.0068755659604733
52,2020-03-18,7.526501655578613,162515200,-0.1315385157128614
53,2020-03-19,8.139822006225586,157065200,0.0814881041303408
54,2020-03-20,7.999825477600098,149029900,-0.0171989668224212
55,2020-03-23,7.666499137878418,107092400,-0.0416667014368012
56,2020-03-24,8.83314037322998,114259200,0.152173921156197
57,2020-03-25,9.54645824432373,158286200,0.0807547305888578
58,2020-03-26,9.593122482299805,130618400,0.0048881204716755
59,2020-03-27,8.866474151611328,101405900,-0.0757468000673617
60,2020-03-30,8.919806480407715,110947200,0.0060150549005655
61,2020-03-31,9.326462745666504,156116500,0.0455902564872912
62,2020-04-01,9.533125877380373,114455000,0.0221587902455184
63,2020-04-02,10.339774131774902,234951200,0.0846152945812346
64,2020-04-03,10.226442337036133,142898700,-0.0109607611630985
65,2020-04-06,10.513104438781738,123934200,0.0280314592600232
66,2020-04-07,10.93309497833252,140498900,0.0399492406830355
67,2020-04-08,11.54641342163086,116151600,0.0560974220487271
68,2020-04-09,11.213088989257812,185771300,-0.0288682225554649
69,2020-04-13,11.286420822143556,93724000,0.0065398422286664
70,2020-04-14,11.15308952331543,91017200,-0.0118134261453847
71,2020-04-15,10.919760704040527,86749600,-0.0209205546846127
72,2020-04-16,10.47977066040039,115633300,-0.0402930115013722
73,2020-04-17,10.753097534179688,116733000,0.0260813793198841
74,2020-04-20,10.633102416992188,133739400,-0.0111591210631247
75,2020-04-22,11.166422843933104,114967100,0.0501566152592161
76,2020-04-23,11.300056457519531,94759000,0.011967450584144
77,2020-04-24,10.633386611938477,161188800,-0.0589970367039559
78,2020-04-27,10.966721534729004,85944900,0.0313479547914001
79,2020-04-28,11.500371932983398,91613600,0.0486608870813807
80,2020-04-29,12.133726119995115,94528400,0.0550724959768684
81,2020-04-30,12.033721923828123,80263900,-0.008241837270597
82,2020-05-04,11.587039947509766,60268400,-0.0371191871596998
83,2020-05-05,11.960387229919434,75043400,0.0322211094551292
84,2020-05-06,11.520371437072754,67937500,-0.0367894269966411
85,2020-05-07,11.627041816711426,81265100,0.0092592830206328
86,2020-05-08,12.320398330688477,83232700,0.0596330971288412
87,2020-05-11,12.100390434265137,65061500,-0.017857206440747
88,2020-05-12,12.09372329711914,71837200,-0.0005509852911123
89,2020-05-13,11.727046012878418,87222300,-0.0303196356682039
90,2020-05-14,11.600374221801758,119653200,-0.0108016793775305
91,2020-05-15,11.433701515197754,133733100,-0.0143678732614297
92,2020-05-18,12.36039924621582,116999500,0.0810496696792628
